Juge;Produit;Seance;Odeur de cacao;Odeur de lait;Saveur sucree;Saveur acide;Saveur amere;Arome de cacao;Arome de lait;Arome de caramel;Arome de vanille;Astringence;Croquant;Fondant;Collant;Granuleux
8;Nestle_80;2;6;2;5;6;8;5;5;6;4;4;5;4;4;3
8;Ethiquable_75;2;6;4;3;6;8;9;3;2;1;6;7;5;6;6
8;Repere_85;2;9;4;2;5;9;9;3;2;2;6;8;4;5;6
8;Lindt_70;2;7;4;2;5;10;9;5;4;4;6;9;3;3;5
8;Lindt_78;2;8;3;2;5;9;9;3;2;2;7;5;6;6;2
8;Nestle_70;2;8;4;3;7;8;8;4;4;2;4;6;4;3;2
8;Ethiquable_70;2;8;2;5;8;10;6;4;4;2;5;7;5;4;6
9;Nestle_80;2;8;6;7;6;6;8;6;2;3;4;7;6;4;2
9;Repere_85;2;7;4;4;7;8;8;2;2;2;7;7;5;4;2
9;Lindt_85;2;8;7;4;9;7;8;2;1;2;8;9;5;4;2
9;Lindt_78;2;6;2;7;4;5;7;3;1;2;4;6;7;6;3
9;Repere_72;2;7;8;8;3;4;6;7;3;3;4;6;7;5;2
9;Ethiquable_70;2;9;7;8;8;8;7;6;2;2;8;7;5;4;2
9;Ethiquable_75;2;6;2;6;6;6;7;3;3;2;6;7;8;6;3
9;Nestle_70;2;7;2;7;7;6;8;5;3;3;5;5;6;5;2
9;Lindt_70;2;6;3;7;8;7;8;5;3;4;6;6;5;4;2
10;Lindt_78;2;9;2;4;6;7;8;2;2;3;7;3;6;8;7
10;Repere_85;2;6;2;6;2;7;9;2;2;1;8;10;3;4;7
10;Ethiquable_70;2;8;2;9;7;3;9;6;5;2;5;8;4;2;5
10;Nestle_80;2;6;3;7;6;3;7;4;7;1;5;5;8;3;3
10;Nestle_70;2;8;2;5;6;5;9;2;2;1;5;4;6;7;4
10;Lindt_85;2;6;2;2;4;8;9;5;1;3;8;9;2;8;7
10;Lindt_70;2;7;6;10;3;1;7;6;6;3;3;7;7;6;1
10;Repere_72;2;6;7;3;6;4;10;7;7;5;7;9;3;4;5
10;Ethiquable_75;2;4;3;4;7;8;5;4;4;5;8;7;4;5;4
11;Lindt_70;2;7;3;3;2;3;8;3;1;1;3;5;3;4;2
11;Nestle_70;2;4;2;4;1;4;3;6;1;1;3;4;5;4;1
11;Ethiquable_75;2;4;2;3;1;6;6;2;1;1;5;6;3;4;1
11;Ethiquable_70;2;8;1;2;3;5;4;2;1;1;7;6;4;5;1
11;Repere_72;2;2;8;6;1;2;3;8;1;2;4;4;5;6;1
11;Lindt_78;2;6;2;3;1;4;3;2;1;1;6;2;5;5;1
11;Lindt_85;2;7;3;1;1;3;3;1;1;1;6;8;2;3;3
11;Repere_85;2;6;2;1;1;9;3;1;1;1;7;3;4;3;1
11;Nestle_80;2;5;5;3;3;5;3;3;6;1;5;4;2;5;4
12;Ethiquable_70;2;8;7;8;2;8;9;7;3;1;4;8;7;1;1
12;Lindt_78;2;6;8;9;3;5;7;8;1;1;3;6;7;3;1
12;Nestle_70;2;5;7;10;1;3;5;8;1;1;2;4;8;2;1
12;Repere_85;2;8;7;4;2;7;7;3;8;3;9;8;7;6;7
12;Lindt_70;2;8;8;9;1;6;8;6;1;3;3;9;6;3;2
12;Nestle_80;2;6;7;6;3;4;6;7;8;3;7;5;5;2;6
12;Ethiquable_75;2;5;8;10;1;2;3;7;1;1;1;9;4;2;3
12;Lindt_85;2;7;3;2;2;10;9;2;4;1;9;9;7;1;1
12;Repere_72;2;8;8;7;2;5;4;6;5;6;6;9;6;7;2
