abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus;tann;biome
0;0;0;3.87;0.25;0.12;0.12;0;7.23;0;0;0;0.5;0.5;0;26.68;0;0;0;0;0;6.48;0;53.74;0;0.5;0;0;0;0;0;3.471;COMX
0;0;0;6.39;0;0.19;0.28;0;27.44;0;0.19;0;0.47;1.13;0;0.85;0;0;0.19;0;0;2.44;0;56.95;0;1.97;0;0;0.09;1.32;0.09;2.418;COMX
0;0;0;4.89;0;0.09;0;0;16.98;0;0.09;0.17;0.17;0.43;0;0.17;0;0;8.06;0;0;9.78;0;54.63;0.09;3.69;0;0.77;0;0;0;3.607;COMX
1.75;0;0;7.02;1.75;0;0;0;0;0.58;4.68;2.34;0.58;0;0;3.51;9.94;0;2.92;0;11.7;0;0;5.26;2.92;32.75;4.09;2.92;1.17;0;4.09;14.333;COMX
0.05;0;0;0.14;0.05;0.24;0.29;0;0;0.29;0;4.19;0;86.18;0;0;0.19;0.05;0;0;0.05;0;0;1.72;0.24;5.1;0;1.19;0.05;0;0;12.865;WAST
0;0;0;3.85;0;0;0.52;0;28.15;0;0;0;0.52;4.2;0;2.27;0;0;0;0;0;3.32;0;50.52;0;5.77;0;0;0.87;0;0;1.848;COMX
1.17;0;0;4.85;0.06;0.58;0.64;0;4.97;0.12;0.41;1.23;1.23;0.94;0;27.64;2.22;0.06;0;0;0;12.51;0;29.11;2.28;7.89;0;1.05;0.18;0.35;0.53;8.41;COMX
9.7;1.52;0;16.92;1.71;1.52;1.52;0;6.08;0;1.33;0.57;6.65;3.23;0;0;4.94;3.42;0;0;0;0.95;0;15.4;0.57;9.7;0;3.23;7.79;1.71;1.52;7.551;COMX
1.42;0;0;5.1;0;1.13;1.7;0;7.93;0.85;0.57;0.28;1.42;14.45;0;1.13;0.85;0;0.57;0;0;0.85;0;33.43;2.55;21.25;0;2.55;1.42;0.28;0.28;8.626;COMX
0;0;0;4.73;0;0.59;0;0;10.35;0;0;0;4.73;13.91;0;25.74;0;0;0;0;0;0;0;20.71;0.3;17.16;0;1.18;0.3;0;0.3;4.661;COMX
0;0;0;1.28;0;0;0.21;0;10.02;0.43;0;0;0.21;8.1;0;41.58;0;0;0;0;0;0;0;14.5;1.28;22.17;0;0;0.21;0;0;4.304;COMX
0;0;0;5.03;0;0;0;0;5.49;0;0;0;8.47;10.98;0;16.25;0;0;0;0;0;0;0;16.25;0.46;35.24;0;0.92;0;0;0.92;3.629;COMX
0;0;0;0.34;0.69;0.34;4.48;0;0;0.34;0;0.34;0;0.34;0;1.38;0;1.38;0.69;0;5.17;0;0;34.48;3.1;23.79;14.14;8.62;0.34;0;0;10.96;XERO
0;0;0;0;0.23;0.23;2.06;0;0.23;0;0;0.23;0.23;0.69;0;0.69;0.23;0;0.46;0;1.61;0;0;28.67;3.21;15.37;1.15;43.58;0.69;0;0;9.692;XERO
0;0;0;0.31;0.31;0.92;1.54;0;0;0.31;0;0;0;0;0;0;0;0.62;0;0;3.38;0;0;23.69;0.62;5.54;4.92;57.54;0.31;0;0;8.845;COMX
0;0;0;0;0.44;0.44;1.11;0;0;0;0;0.22;0;1.55;0;0.22;0;0;0.44;0;0.22;0;0;88.27;0.22;3.32;1.99;1.33;0.22;0;0;7.343;XERO
0;0;0;0;0.18;0.18;0.53;0;0.18;0;0;0.18;0;0;0;0.18;0;0.35;0.89;0;0.89;0;0;87.41;0.71;4.08;2.66;1.42;0;0;0.18;6.292;XERO
0;0;0;0.36;0;1.08;1.79;0;0.36;0;0;0.36;0.36;0.36;0;2.15;0;0.36;10.39;0;2.51;0;0;43.01;1.43;24.37;5.38;5.38;0.36;0;0;4.525;XERO
0;0;0;0.33;0.67;1.67;2.01;0;0;0;0;1;0;0.33;0;1.67;0;1.34;22.74;0;2.34;0;0;27.42;1;27.09;7.69;2.01;0.33;0;0;10.394;XERO
0;0;0;0;0;4.12;4.12;0;0;0;0;0.41;0;0.41;0;0.41;0;1.23;41.56;0;0.82;0;0;17.7;2.88;14.4;9.05;2.47;0;0;0.41;10.426;XERO
0;0;0;1.23;0;0.31;9.57;0;0.31;0;0;0;5.56;37.96;0;4.63;0.62;1.54;0;0;0;0;0;9.57;22.53;3.09;0.31;1.85;0;0;0.93;10.871;WAST
0;0;0;2.4;4.57;0;3.37;0;3.85;0.72;0;0;19.23;4.33;0;1.44;1.44;1.92;0;0;0.72;0;0;5.53;4.33;36.06;0;2.64;6.25;0.24;0;7.762;TEDE
0;0;0;3.43;0.31;0;8.1;0;4.98;0;0;0;11.53;4.98;0;4.05;0;0.62;0.31;0;0;0;0;16.2;0.62;39.25;0.31;5.3;0;0;0;13.558;COMX
0;0;0;2.76;0;0;0.5;0;0.25;0.5;0;0.25;2.26;3.52;0;1.01;0;0;0;0;1.01;0;0;53.52;2.76;27.89;0.5;3.02;0.25;0;0;14.733;WAMX
0;0;0;2;0;0;0.67;0;1;1;0;0.33;0.67;40;0;3.33;0;0.33;0;0;1.67;0;0;5.67;0.33;28.33;3.33;11;0;0;0.33;12.725;WAST
0;0;0;0;0;0;6.3;0;0;0;0;0.27;0;0.27;0;0;0;0.55;0;0;0.27;0;0;47.95;0;44.11;0;0.27;0;0;0;15.671;WAST
0;0.82;0;0.55;0;22.25;1.37;0;0;4.12;0;1.37;0;1.37;0.55;1.1;0;2.47;1.65;0.55;33.24;0;0;14.56;0;7.42;3.57;2.47;0.55;0;0;18.009;XERO
0;0;0;0;0.29;0;30.84;0;0;2.59;0.29;2.02;0;9.22;0;0;0;0;0;0;1.15;0;0;3.75;1.15;44.38;1.15;3.17;0;0;0;16.726;WAST
0;0;0;1.18;0.29;0.29;0.59;0;7.06;0.59;0;0;2.65;8.82;0;15.88;0;0;0.59;0;1.47;0;0;4.71;2.65;37.94;1.18;13.24;0.59;0;0.29;6.694;TEDE
