;abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus
BP60;0;0.308641975308642;0;5.09259259259259;0.154320987654321;0.462962962962963;0;0;4.78395061728395;0;0;0;50;0.925925925925926;0;0;0;0.462962962962963;0.154320987654321;0;0;0;0;10.9567901234568;0;2.16049382716049;0;10.8024691358025;0;6.6358024691358;7.09876543209876
BP61;0;0;0;4.67289719626168;0;0.778816199376947;0;0;8.09968847352025;0;0;0;45.3271028037383;0.623052959501558;0;0;0;0.155763239875389;0.778816199376947;0;0;0;0;13.0841121495327;0;4.3613707165109;0;8.8785046728972;0.155763239875389;6.85358255451713;6.23052959501558
BP62;0;0.321027287319422;0;2.8892455858748;0.160513643659711;0.160513643659711;0;0;6.58105939004815;0;0;0;50.2407704654896;2.24719101123596;0.160513643659711;0;0;0.481540930979133;0.963081861958267;0;0;0;0;12.8410914927769;0;2.8892455858748;0;12.5200642054575;0.321027287319422;4.65489566613162;2.56821829855538
BP63;0;0.142450142450143;0;5.27065527065527;0.284900284900285;0.427350427350428;0;0;7.26495726495726;0;0;0;45.5840455840456;1.13960113960114;0;0;0;0;0.427350427350428;0;0;0;0;13.1054131054131;0;2.56410256410256;0;16.8091168091168;0.142450142450143;2.27920227920228;4.55840455840455
BP64;0;0.928792569659443;0;4.02476780185759;0.773993808049536;0;0;0;5.10835913312694;0;0;0;52.4767801857585;0.464396284829722;0;0;0;0;0.619195046439629;0;0;0;0;9.28792569659443;0;2.94117647058824;0;16.4086687306501;0.309597523219814;2.1671826625387;4.48916408668731
BP65;0;0.815217391304348;0;5.84239130434782;0;0.407608695652174;0;0;6.79347826086957;0;0;0;40.3532608695652;0.815217391304348;0;0;0;0.271739130434783;0.407608695652174;0;0;0;0;12.5;0.135869565217391;2.03804347826087;0;20.1086956521739;0.271739130434783;1.49456521739131;7.7445652173913
BP66;0;0.299850074962519;0;4.7976011994003;0;0.449775112443778;0;0;8.54572713643179;0;0;0;47.6761619190405;1.34932533733133;0;0;0;0;0.599700149925039;0;0;0;0;13.1934032983508;0;3.74812593703148;0;14.0929535232384;0.149925037481259;1.34932533733133;3.74812593703148
BP67;0;0.150829562594269;0;7.99396681749623;0;0.754147812971342;0;0;6.93815987933636;0;0;0;43.5897435897436;1.80995475113123;0;0;0;0;0.452488687782805;0;0;0;0;14.7812971342383;0;2.26244343891403;0;12.0663650075415;0.150829562594269;1.80995475113123;7.23981900452488
BP68;0.136425648021828;0;0;6.8212824010914;0.136425648021828;0.545702592087313;0;0;8.731241473397;0;0;0;41.2005457025921;1.63710777626194;0;0;0;0;0.272851296043656;0;0;0;0;21.9645293315144;0.272851296043657;2.4556616643929;0;8.45839017735334;0.409276944065484;1.22783083219646;5.72987721691678
BP69;0;0;0;10.0456621004566;0.30441400304414;0.30441400304414;0;0;8.37138508371385;0;0;0;36.6818873668189;0.76103500761035;0.15220700152207;0;0;0;0;0;0;0;0;24.5053272450533;0;1.5220700152207;0;7.76255707762557;0.60882800608828;2.43531202435312;6.544901065449
BP70;0;0.305343511450382;0;4.88549618320611;0.305343511450382;0.152671755725191;0;0;7.32824427480916;0;0;0;43.5114503816794;1.37404580152671;0;0;0;0;0.610687022900763;0;0;0.152671755725191;0;23.969465648855;0;1.6793893129771;0;7.63358778625954;0.305343511450382;1.98473282442748;5.80152671755725
BP71;0;0;0;4.3338683788122;0.160513643659711;0.481540930979133;0;0;6.74157303370786;0;0;0;43.1781701444623;1.60513643659711;0;0;0;0;0.321027287319422;0;0;0;0;26.8057784911717;0.321027287319422;1.76565008025683;0;6.58105939004815;0.160513643659711;2.88924558587479;4.65489566613162
BP72;0;0.288600288600288;0;5.77200577200577;0.144300144300145;0.721500721500721;0;0;4.76190476190477;0;0;0.144300144300145;38.9610389610389;1.58730158730158;0;0;0;0;0;0;0;0;0;29.8701298701299;0.144300144300145;0.577200577200577;0;5.62770562770563;0.288600288600288;3.03030303030303;8.08080808080808
BP73;0;0.408163265306122;0;3.94557823129252;0.136054421768707;0.408163265306122;0;0;8.97959183673469;0;0;0;23.265306122449;2.04081632653061;0;0;0;0.136054421768707;0;0;0;0;0;45.9863945578231;0;2.17687074829932;0;3.40136054421768;0.408163265306122;1.22448979591837;7.48299319727891
